raw_stop_name,normalized_stop_name,canonical_place_id,canonical_name_en,match_score,match_method,needs_manual_review,source_id
Hemayetpur,hemayetpur,PLC0132,Hemayetpur,1.0,exact_normalized,no,SRC_BUS_GITHUB
High Court,high court,PLC0133,High Court,1.0,exact_normalized,no,SRC_BUS_GITHUB
House Building,house building,PLC0135,House Building,1.0,exact_normalized,no,SRC_BUS_GITHUB
IDB,idb,,,0.5,unmatched,yes,SRC_BUS_GITHUB
Ittefaq Moor,ittefaq,,,0.7143,unmatched,yes,SRC_BUS_GITHUB
Ittefaq Moor Sayedabad,ittefaq sayedabad,,,0.6923,unmatched,yes,SRC_BUS_GITHUB
Jahangir Gate,jahangir gate,,,0.6364,unmatched,yes,SRC_BUS_GITHUB
Jakir Hossen Road,jakir hossen road,,,0.6471,unmatched,yes,SRC_BUS_GITHUB
Jalkuri,jalkuri,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Jamgora,jamgora,,,0.5714,unmatched,yes,SRC_BUS_GITHUB
Jamuna Future Park,jamuna future park,PLC0139,Jamuna Future Park,1.0,exact_normalized,no,SRC_BUS_GITHUB
Janapath Moor,janapath,,,0.625,unmatched,yes,SRC_BUS_GITHUB
Japan Garden City,japan garden city,PLC0140,Japan Garden City,1.0,exact_normalized,no,SRC_BUS_GITHUB
Jarun,jarun,,,0.5455,unmatched,yes,SRC_BUS_GITHUB
Jashimuddin (Uttara),jashimuddin,PLC0142,Jasimuddin,0.9524,fuzzy_high,no,SRC_BUS_GITHUB
Jatrabari,jatrabari,PLC0143,Jatrabari,1.0,exact_normalized,no,SRC_BUS_GITHUB
Jatrabari -,jatrabari,PLC0143,Jatrabari,1.0,exact_normalized,no,SRC_BUS_GITHUB
Jigatola,jigatola,PLC0144,Jigatola,1.0,exact_normalized,no,SRC_BUS_GITHUB
Joydebpur,joydebpur,,,0.5882,unmatched,yes,SRC_BUS_GITHUB
Jurain,jurain,PLC0150,Jurain,1.0,exact_normalized,no,SRC_BUS_GITHUB
Kachukhet,kachukhet,PLC0194,Kochukhet,0.8889,fuzzy_high,no,SRC_BUS_GITHUB
Kadamtali,kadamtali,PLC0151,Kadamtoli,0.8889,fuzzy_high,no,SRC_BUS_GITHUB
Kajipara,kajipara,PLC0179,Kazipara,0.875,fuzzy_high,no,SRC_BUS_GITHUB
Kakali,kakali,,,0.8333,unmatched,yes,SRC_BUS_GITHUB
Kakrail,kakrail,PLC0155,Kakrail,1.0,exact_normalized,no,SRC_BUS_GITHUB
Kalabagan,kalabagan,PLC0156,Kalabagan,1.0,exact_normalized,no,SRC_BUS_GITHUB
Kalabagan City College,kalabagan city college,,,0.75,unmatched,yes,SRC_BUS_GITHUB
Kalampur,kalampur,PLC0157,Kalampur,1.0,exact_normalized,no,SRC_BUS_GITHUB
Kallyanpur,kalyanpur,PLC0163,Kalyanpur,1.0,exact_normalized,no,SRC_BUS_GITHUB
Kalshi,kalshi,PLC0161,Kalshi Morh,1.0,exact_normalized,no,SRC_BUS_GITHUB
Kalshi Pallabi,kalshi pallabi,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Kamalapur,kamalapur,PLC0166,Kamalapur Station,1.0,exact_normalized,no,SRC_BUS_GITHUB
Kamarpara,kamarpara,PLC0169,Kamarpara,1.0,exact_normalized,no,SRC_BUS_GITHUB
Kamlapur,kamlapur,PLC0166,Kamalapur Station,0.9412,fuzzy_high,no,SRC_BUS_GITHUB
Kamrangirchar,kamrangirchar,PLC0170,Kamrangirchar (Beribadh),1.0,exact_normalized,no,SRC_BUS_GITHUB
Kanchan Bridge,kanchan bridge,,,0.8276,unmatched,yes,SRC_BUS_GITHUB
Kanchpur,kanchpur,PLC0171,Kanchpur,1.0,exact_normalized,no,SRC_BUS_GITHUB
Karwan Bazar,kawran bazar,PLC0178,Kawran Bazar,1.0,exact_normalized,no,SRC_BUS_GITHUB
Kashimpur,kashimpur,,,0.8235,unmatched,yes,SRC_BUS_GITHUB
Katabon,katabon,PLC0177,Katabon,1.0,exact_normalized,no,SRC_BUS_GITHUB
Kawran Bazar,kawran bazar,PLC0178,Kawran Bazar,1.0,exact_normalized,no,SRC_BUS_GITHUB
Kazipara,kazipara,PLC0179,Kazipara,1.0,exact_normalized,no,SRC_BUS_GITHUB
Kazipara Shewrapara,kazipara shewrapara,,,0.6897,unmatched,yes,SRC_BUS_GITHUB
Kazla,kazla,,,0.8333,unmatched,yes,SRC_BUS_GITHUB
Keraniganj,keraniganj,PLC0182,Keraniganj (New Jail),1.0,exact_normalized,no,SRC_BUS_GITHUB
Khamar Bari,khamar bari,PLC0184,Khamarbari,0.9524,fuzzy_high,no,SRC_BUS_GITHUB
Khamar Bari -,khamar bari,PLC0184,Khamarbari,0.9524,fuzzy_high,no,SRC_BUS_GITHUB
Khamar Bari Farmgate,khamar bari farmgate,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Khamarbari,khamarbari,PLC0184,Khamarbari,1.0,exact_normalized,no,SRC_BUS_GITHUB
Khilgaon,khilgaon,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Khilgaon Flyover,khilgaon flyover,PLC0189,Khilgaon Flyover,1.0,exact_normalized,no,SRC_BUS_GITHUB
Khilgaon Khidma Hospital,khilgaon khidma hospital,PLC0190,Khilgaon Khidma Hospital,1.0,exact_normalized,no,SRC_BUS_GITHUB
Khilkhet,khilkhet,PLC0193,Khilkhet,1.0,exact_normalized,no,SRC_BUS_GITHUB
Kolabagan,kolabagan,PLC0156,Kalabagan,0.8889,fuzzy_high,no,SRC_BUS_GITHUB
Konabari,konabari,PLC0197,Konabari,1.0,exact_normalized,no,SRC_BUS_GITHUB
Kuchimura,kuchimura,,,0.625,unmatched,yes,SRC_BUS_GITHUB
Kuril  Bishwa Road,kuril bishwa road,PLC0203,Kuril Bishwa Road,1.0,exact_normalized,no,SRC_BUS_GITHUB
Kuril Bishwa Road,kuril bishwa road,PLC0203,Kuril Bishwa Road,1.0,exact_normalized,no,SRC_BUS_GITHUB
Kuril Bissho Road,kuril bissho road,PLC0203,Kuril Bishwa Road,0.8824,fuzzy_high,no,SRC_BUS_GITHUB
Kuril Chourasta,kuril chourasta,,,0.75,unmatched,yes,SRC_BUS_GITHUB
Kuril Flyover,kuril flyover,PLC0205,Kuril Flyover,1.0,exact_normalized,no,SRC_BUS_GITHUB
MES,mes,,,0.4,unmatched,yes,SRC_BUS_GITHUB
Madanpur,madanpur,PLC0209,Madanpur,1.0,exact_normalized,no,SRC_BUS_GITHUB
Madhya Badda,madhya badda,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Malibagh,malibagh,PLC0212,Malibagh,1.0,exact_normalized,no,SRC_BUS_GITHUB
Malibagh Moor,malibagh,PLC0212,Malibagh,1.0,exact_normalized,no,SRC_BUS_GITHUB
Malibagh Railgate,malibagh railgate,,,0.64,unmatched,yes,SRC_BUS_GITHUB
Manik Mia Avenue,manik mia avenue,PLC0216,Manik Mia Avenue,1.0,exact_normalized,no,SRC_BUS_GITHUB
Manik Nagar,manik nagar,PLC0220,Maniknagar,0.9524,fuzzy_high,no,SRC_BUS_GITHUB
Manikganj,manikganj,PLC0218,Manikganj,1.0,exact_normalized,no,SRC_BUS_GITHUB
Maowa,maowa,,,0.5714,unmatched,yes,SRC_BUS_GITHUB
Matsya Bhaban,matsya bhaban,PLC0222,Matsya Bhaban,1.0,exact_normalized,no,SRC_BUS_GITHUB
Matuail,matuail,,,0.5714,unmatched,yes,SRC_BUS_GITHUB
Mazar Road,mazar road,PLC0226,Mazar Road,1.0,exact_normalized,no,SRC_BUS_GITHUB
Meghna Ghat,meghna ghat,PLC0228,Meghna Ghat,1.0,exact_normalized,no,SRC_BUS_GITHUB
Merul,merul,,,0.5455,unmatched,yes,SRC_BUS_GITHUB
Metro Hall,metro hall,,,0.7368,unmatched,yes,SRC_BUS_GITHUB
Mill Gate,mill gate,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Mirpur 1,mirpur 1,PLC0239,Mirpur-1,1.0,exact_normalized,no,SRC_BUS_GITHUB
Mirpur 10,mirpur 10,PLC0240,Mirpur-10,1.0,exact_normalized,no,SRC_BUS_GITHUB
Mirpur 11,mirpur 11,PLC0241,Mirpur-11,1.0,exact_normalized,no,SRC_BUS_GITHUB
Mirpur 12,mirpur 12,PLC0243,Mirpur-12,1.0,exact_normalized,no,SRC_BUS_GITHUB
Mirpur 13,mirpur 13,PLC0239,Mirpur-1,0.9412,fuzzy_high,no,SRC_BUS_GITHUB
Mirpur 14,mirpur 14,PLC0244,Mirpur-14,1.0,exact_normalized,no,SRC_BUS_GITHUB
Mirpur 2,mirpur 2,PLC0245,Mirpur-2,1.0,exact_normalized,no,SRC_BUS_GITHUB
Mirpur 2 Mirpur 10,mirpur 2 mirpur 10,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Mirpur DOHS,mirpur dohs,PLC0234,Mirpur DOHS,1.0,exact_normalized,no,SRC_BUS_GITHUB
Mirpur Sony Cinema Hall,mirpur sony cinema hall,,,0.7692,unmatched,yes,SRC_BUS_GITHUB
Mitford Ghat,mitford ghat,,,0.5714,unmatched,yes,SRC_BUS_GITHUB
Mogbazar,mogbazar,PLC0210,Magbazar,0.875,fuzzy_high,no,SRC_BUS_GITHUB
Mogbazar Mohakhali,mogbazar mohakhali,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Mohakhali,mohakhali,PLC0250,Mohakhali,1.0,exact_normalized,no,SRC_BUS_GITHUB
Mohammadpur,mohammadpur,PLC0256,Mohammadpur (Japan Garden City),1.0,exact_normalized,no,SRC_BUS_GITHUB
Mohammadpur Bus Stand,mohammadpur bus stand,PLC0257,Mohammadpur Bus Stand,1.0,exact_normalized,no,SRC_BUS_GITHUB
Motijheel,motijheel,PLC0263,Motijheel (Shapla Chattar),1.0,exact_normalized,no,SRC_BUS_GITHUB
Motsho Bhaban,motsho bhaban,,,0.7692,unmatched,yes,SRC_BUS_GITHUB
Mouchak,mouchak,PLC0265,Mouchak (Flyover),1.0,exact_normalized,no,SRC_BUS_GITHUB
Mugdapara,mugdapara,,,0.7143,unmatched,yes,SRC_BUS_GITHUB
Nabisco,nabisco,PLC0268,Nabisco,1.0,exact_normalized,no,SRC_BUS_GITHUB
Nadda,nadda,,,0.8,unmatched,yes,SRC_BUS_GITHUB
Nandan Park,nandan park,PLC0269,Nandan Park,1.0,exact_normalized,no,SRC_BUS_GITHUB
Narshinghapur,narshinghapur,PLC0273,Narsinghpur,0.9167,fuzzy_high,no,SRC_BUS_GITHUB
Nawabganj,nawabganj,PLC0275,Nawabganj,1.0,exact_normalized,no,SRC_BUS_GITHUB
Naya Bazar,naya bazar,PLC0277,Nayabazar (No. 2 Buriganga Bridge),0.9474,fuzzy_high,no,SRC_BUS_GITHUB
New Market,new market,PLC0279,New Market,1.0,exact_normalized,no,SRC_BUS_GITHUB
New Market Nilkhet,new market nilkhet,,,0.7143,unmatched,yes,SRC_BUS_GITHUB
Nila Market,nila market,,,0.7619,unmatched,yes,SRC_BUS_GITHUB
Nilkhet,nilkhet,PLC0280,Nilkhet,1.0,exact_normalized,no,SRC_BUS_GITHUB
Nimtola,nimtola,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Nobinagar,nobinagar,PLC0281,Nobinagar (Savar),1.0,exact_normalized,no,SRC_BUS_GITHUB
Nobinagar Baipayl,nobinagar baipail,,,0.6923,unmatched,yes,SRC_BUS_GITHUB
Nobinagar Chandra,nobinagar chandra,,,0.6923,unmatched,yes,SRC_BUS_GITHUB
Notun Bazar,notun bazar,PLC0284,Notun Bazar,1.0,exact_normalized,no,SRC_BUS_GITHUB
Old Airport,old airport,,,0.7778,unmatched,yes,SRC_BUS_GITHUB
Palashi,palashi,PLC0288,Palashi,1.0,exact_normalized,no,SRC_BUS_GITHUB
Pallabi,pallabi,PLC0290,Pallabi (Mirpur-12),1.0,exact_normalized,no,SRC_BUS_GITHUB
Palli Bidyut,palli bidyut,,,0.6316,unmatched,yes,SRC_BUS_GITHUB
Paltan,paltan,PLC0291,Paltan,1.0,exact_normalized,no,SRC_BUS_GITHUB
Panthapath,panthapath,,,0.5,unmatched,yes,SRC_BUS_GITHUB
Panthopoth,panthopoth,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Paturia,paturia,PLC0293,Paturia,1.0,exact_normalized,no,SRC_BUS_GITHUB
Police Plaza,police plaza,,,0.5455,unmatched,yes,SRC_BUS_GITHUB
Postagola,postagola,PLC0295,Postgola,0.9412,fuzzy_high,no,SRC_BUS_GITHUB
Press Club,press club,PLC0298,Press Club,1.0,exact_normalized,no,SRC_BUS_GITHUB
Press Club  Paltan,press club paltan,,,0.7407,unmatched,yes,SRC_BUS_GITHUB
Proshika Moor,proshika,PLC0297,Prashika,0.875,fuzzy_high,no,SRC_BUS_GITHUB
Purobi,purobi,PLC0302,Purbi,0.9091,fuzzy_high,no,SRC_BUS_GITHUB
Purobi Pallabi,purobi pallabi,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Rajarbag,rajarbag,PLC0305,Rajarbagh,0.9412,fuzzy_high,no,SRC_BUS_GITHUB
Rajendrapur,rajendrapur,PLC0306,Rajendrapur,1.0,exact_normalized,no,SRC_BUS_GITHUB
Rajlakshmi,rajlakshmi,,,0.7778,unmatched,yes,SRC_BUS_GITHUB
Rajlakshmi House Building,rajlakshmi house building,,,0.7179,unmatched,yes,SRC_BUS_GITHUB
Rampura Bazar,rampura bazar,,,0.7826,unmatched,yes,SRC_BUS_GITHUB
Rampura Bridge,rampura bridge,PLC0314,Rampura Bridge,1.0,exact_normalized,no,SRC_BUS_GITHUB
Ray Saheb Bazar,ray saheb bazar,PLC0317,Raysaheb Bazar,0.9655,fuzzy_high,no,SRC_BUS_GITHUB
Ray Shaheb Bazar,ray shaheb bazar,PLC0317,Raysaheb Bazar,0.9333,fuzzy_high,no,SRC_BUS_GITHUB
Rayer Bazar,rayer bazar,,,0.8,unmatched,yes,SRC_BUS_GITHUB
Rayerbag,rayerbag,PLC0316,Rayerbag,1.0,exact_normalized,no,SRC_BUS_GITHUB
Ring Road,ring road,,,0.7778,unmatched,yes,SRC_BUS_GITHUB
Ring road,ring road,,,0.7778,unmatched,yes,SRC_BUS_GITHUB
Rupnagar,rupnagar,,,0.6957,unmatched,yes,SRC_BUS_GITHUB
Rupnagar Abashik,rupnagar abashik,,,0.5455,unmatched,yes,SRC_BUS_GITHUB
Sadarghat,sadarghat,PLC0321,Sadarghat,1.0,exact_normalized,no,SRC_BUS_GITHUB
Sainik Club,sainik club,PLC0324,Sainik Club,1.0,exact_normalized,no,SRC_BUS_GITHUB
Salimullah Road,salimullah road,,,0.5833,unmatched,yes,SRC_BUS_GITHUB
Sanarpar,sanarpar,,,0.7059,unmatched,yes,SRC_BUS_GITHUB
Sat rasta,sat rasta,PLC0325,Satrasta,0.9412,fuzzy_high,no,SRC_BUS_GITHUB
Satrasta,satrasta,PLC0325,Satrasta,1.0,exact_normalized,no,SRC_BUS_GITHUB
Saudi Colony,saudi colony,,,0.5217,unmatched,yes,SRC_BUS_GITHUB
Savar,savar,PLC0326,Savar,1.0,exact_normalized,no,SRC_BUS_GITHUB
Savar Cantonment,savar cantonment,,,0.5385,unmatched,yes,SRC_BUS_GITHUB
Sayedabad,sayedabad,PLC0327,Sayedabad,1.0,exact_normalized,no,SRC_BUS_GITHUB
Science Lab,science lab,PLC0329,Science Lab,1.0,exact_normalized,no,SRC_BUS_GITHUB
Shahbag,shahbag,PLC0331,Shahbag,1.0,exact_normalized,no,SRC_BUS_GITHUB
Shahjadpur,shahjadpur,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Shanir Akhra,shanir akhra,PLC0332,Shanir Akhra,1.0,exact_normalized,no,SRC_BUS_GITHUB
Shankar,shankar,PLC0333,Shankar,1.0,exact_normalized,no,SRC_BUS_GITHUB
Shantinagar,shantinagar,,,0.7619,unmatched,yes,SRC_BUS_GITHUB
Shewra,shewra,,,0.8333,unmatched,yes,SRC_BUS_GITHUB
Shewrapara,shewrapara,PLC0340,Shewrapara,1.0,exact_normalized,no,SRC_BUS_GITHUB
Shia Mosque,shia mosque,,,0.6471,unmatched,yes,SRC_BUS_GITHUB
Shib Bari,shib bari,,,0.7778,unmatched,yes,SRC_BUS_GITHUB
Shibu Market,shibu market,,,0.6364,unmatched,yes,SRC_BUS_GITHUB
Shimultola,shimultola,,,0.625,unmatched,yes,SRC_BUS_GITHUB
Shishu Mela,shishu mela,PLC0343,Shishumela,0.9524,fuzzy_high,no,SRC_BUS_GITHUB
Shiyal Bari,shiyal bari,PLC0342,Shialbari,0.9,fuzzy_high,no,SRC_BUS_GITHUB
Shonbari Sreenagar,shonbari sreenagar,,,0.5926,unmatched,yes,SRC_BUS_GITHUB
Shonir Akhra,shonir akhra,PLC0332,Shanir Akhra,0.9167,fuzzy_high,no,SRC_BUS_GITHUB
Showari Ghat,showari ghat,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Shukrabad,shukrabad,PLC0344,Shukrabad,1.0,exact_normalized,no,SRC_BUS_GITHUB
Shyamoli,shyamoli,PLC0346,Shyamoli,1.0,exact_normalized,no,SRC_BUS_GITHUB
Sign Board,sign board,PLC0348,Signboard,0.9474,fuzzy_high,no,SRC_BUS_GITHUB
Signal,signal,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Sikder Medical College,sikder medical college,,,0.5882,unmatched,yes,SRC_BUS_GITHUB
Sony CInema Hall,sony cinema hall,PLC0352,Soni Cinema Hall,0.9375,fuzzy_high,no,SRC_BUS_GITHUB
Sony Cenema Hall,sony cinema hall,PLC0352,Soni Cinema Hall,0.9375,fuzzy_high,no,SRC_BUS_GITHUB
Sony Cinema Hall,sony cinema hall,PLC0352,Soni Cinema Hall,0.9375,fuzzy_high,no,SRC_BUS_GITHUB
Sony Cinema Hall Mirpur 1,sony cinema hall mirpur 1,,,0.7317,unmatched,yes,SRC_BUS_GITHUB
South Banasree,south banasree,,,0.5714,unmatched,yes,SRC_BUS_GITHUB
