line_id,from_station_id,from_station_en,to_station_id,to_station_en,single_journey_fare_tk,mrt_rapid_pass_fare_tk,live_usable,source_id
MRT6,MRT6_02,Uttara Center,MRT6_04,Pallabi,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_02,Uttara Center,MRT6_05,Mirpur 11,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_02,Uttara Center,MRT6_06,Mirpur 10,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_02,Uttara Center,MRT6_07,Kazipara,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_02,Uttara Center,MRT6_08,Shewrapara,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_02,Uttara Center,MRT6_09,Agargaon,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_02,Uttara Center,MRT6_10,Bijoy Sarani,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_02,Uttara Center,MRT6_11,Farmgate,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_02,Uttara Center,MRT6_12,Karwan Bazar,70,63.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_02,Uttara Center,MRT6_13,Shahbag,70,63.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_02,Uttara Center,MRT6_14,Dhaka University,80,72.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_02,Uttara Center,MRT6_15,Bangladesh Secretariat,80,72.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_02,Uttara Center,MRT6_16,Motijheel,90,81.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_02,Uttara Center,MRT6_17,Kamalapur,100,90.0,no,SRC_DMTCL_FARES
MRT6,MRT6_03,Uttara South,MRT6_01,Uttara North,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_03,Uttara South,MRT6_02,Uttara Center,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_03,Uttara South,MRT6_04,Pallabi,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_03,Uttara South,MRT6_05,Mirpur 11,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_03,Uttara South,MRT6_06,Mirpur 10,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_03,Uttara South,MRT6_07,Kazipara,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_03,Uttara South,MRT6_08,Shewrapara,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_03,Uttara South,MRT6_09,Agargaon,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_03,Uttara South,MRT6_10,Bijoy Sarani,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_03,Uttara South,MRT6_11,Farmgate,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_03,Uttara South,MRT6_12,Karwan Bazar,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_03,Uttara South,MRT6_13,Shahbag,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_03,Uttara South,MRT6_14,Dhaka University,70,63.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_03,Uttara South,MRT6_15,Bangladesh Secretariat,70,63.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_03,Uttara South,MRT6_16,Motijheel,90,81.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_03,Uttara South,MRT6_17,Kamalapur,90,81.0,no,SRC_DMTCL_FARES
MRT6,MRT6_04,Pallabi,MRT6_01,Uttara North,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_04,Pallabi,MRT6_02,Uttara Center,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_04,Pallabi,MRT6_03,Uttara South,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_04,Pallabi,MRT6_05,Mirpur 11,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_04,Pallabi,MRT6_06,Mirpur 10,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_04,Pallabi,MRT6_07,Kazipara,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_04,Pallabi,MRT6_08,Shewrapara,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_04,Pallabi,MRT6_09,Agargaon,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_04,Pallabi,MRT6_10,Bijoy Sarani,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_04,Pallabi,MRT6_11,Farmgate,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_04,Pallabi,MRT6_12,Karwan Bazar,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_04,Pallabi,MRT6_13,Shahbag,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_04,Pallabi,MRT6_14,Dhaka University,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_04,Pallabi,MRT6_15,Bangladesh Secretariat,70,63.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_04,Pallabi,MRT6_16,Motijheel,80,72.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_04,Pallabi,MRT6_17,Kamalapur,80,72.0,no,SRC_DMTCL_FARES
MRT6,MRT6_05,Mirpur 11,MRT6_01,Uttara North,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_05,Mirpur 11,MRT6_02,Uttara Center,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_05,Mirpur 11,MRT6_03,Uttara South,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_05,Mirpur 11,MRT6_04,Pallabi,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_05,Mirpur 11,MRT6_06,Mirpur 10,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_05,Mirpur 11,MRT6_07,Kazipara,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_05,Mirpur 11,MRT6_08,Shewrapara,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_05,Mirpur 11,MRT6_09,Agargaon,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_05,Mirpur 11,MRT6_10,Bijoy Sarani,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_05,Mirpur 11,MRT6_11,Farmgate,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_05,Mirpur 11,MRT6_12,Karwan Bazar,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_05,Mirpur 11,MRT6_13,Shahbag,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_05,Mirpur 11,MRT6_14,Dhaka University,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_05,Mirpur 11,MRT6_15,Bangladesh Secretariat,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_05,Mirpur 11,MRT6_16,Motijheel,70,63.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_05,Mirpur 11,MRT6_17,Kamalapur,80,72.0,no,SRC_DMTCL_FARES
MRT6,MRT6_06,Mirpur 10,MRT6_01,Uttara North,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_06,Mirpur 10,MRT6_02,Uttara Center,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_06,Mirpur 10,MRT6_03,Uttara South,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_06,Mirpur 10,MRT6_04,Pallabi,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_06,Mirpur 10,MRT6_05,Mirpur 11,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_06,Mirpur 10,MRT6_07,Kazipara,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_06,Mirpur 10,MRT6_08,Shewrapara,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_06,Mirpur 10,MRT6_09,Agargaon,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_06,Mirpur 10,MRT6_10,Bijoy Sarani,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_06,Mirpur 10,MRT6_11,Farmgate,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_06,Mirpur 10,MRT6_12,Karwan Bazar,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_06,Mirpur 10,MRT6_13,Shahbag,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_06,Mirpur 10,MRT6_14,Dhaka University,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_06,Mirpur 10,MRT6_15,Bangladesh Secretariat,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_06,Mirpur 10,MRT6_16,Motijheel,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_06,Mirpur 10,MRT6_17,Kamalapur,70,63.0,no,SRC_DMTCL_FARES
MRT6,MRT6_07,Kazipara,MRT6_01,Uttara North,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_07,Kazipara,MRT6_02,Uttara Center,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_07,Kazipara,MRT6_03,Uttara South,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_07,Kazipara,MRT6_04,Pallabi,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_07,Kazipara,MRT6_05,Mirpur 11,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_07,Kazipara,MRT6_06,Mirpur 10,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_07,Kazipara,MRT6_08,Shewrapara,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_07,Kazipara,MRT6_09,Agargaon,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_07,Kazipara,MRT6_10,Bijoy Sarani,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_07,Kazipara,MRT6_11,Farmgate,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_07,Kazipara,MRT6_12,Karwan Bazar,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_07,Kazipara,MRT6_13,Shahbag,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_07,Kazipara,MRT6_14,Dhaka University,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_07,Kazipara,MRT6_15,Bangladesh Secretariat,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_07,Kazipara,MRT6_16,Motijheel,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_07,Kazipara,MRT6_17,Kamalapur,60,54.0,no,SRC_DMTCL_FARES
MRT6,MRT6_08,Shewrapara,MRT6_01,Uttara North,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_08,Shewrapara,MRT6_02,Uttara Center,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_08,Shewrapara,MRT6_03,Uttara South,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_08,Shewrapara,MRT6_04,Pallabi,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_08,Shewrapara,MRT6_05,Mirpur 11,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_08,Shewrapara,MRT6_06,Mirpur 10,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_08,Shewrapara,MRT6_07,Kazipara,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_08,Shewrapara,MRT6_09,Agargaon,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_08,Shewrapara,MRT6_10,Bijoy Sarani,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_08,Shewrapara,MRT6_11,Farmgate,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_08,Shewrapara,MRT6_12,Karwan Bazar,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_08,Shewrapara,MRT6_13,Shahbag,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_08,Shewrapara,MRT6_14,Dhaka University,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_08,Shewrapara,MRT6_15,Bangladesh Secretariat,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_08,Shewrapara,MRT6_16,Motijheel,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_08,Shewrapara,MRT6_17,Kamalapur,60,54.0,no,SRC_DMTCL_FARES
MRT6,MRT6_09,Agargaon,MRT6_01,Uttara North,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_09,Agargaon,MRT6_02,Uttara Center,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_09,Agargaon,MRT6_03,Uttara South,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_09,Agargaon,MRT6_04,Pallabi,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_09,Agargaon,MRT6_05,Mirpur 11,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_09,Agargaon,MRT6_06,Mirpur 10,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_09,Agargaon,MRT6_07,Kazipara,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_09,Agargaon,MRT6_08,Shewrapara,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_09,Agargaon,MRT6_10,Bijoy Sarani,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_09,Agargaon,MRT6_11,Farmgate,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_09,Agargaon,MRT6_12,Karwan Bazar,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_09,Agargaon,MRT6_13,Shahbag,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_09,Agargaon,MRT6_14,Dhaka University,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_09,Agargaon,MRT6_15,Bangladesh Secretariat,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_09,Agargaon,MRT6_16,Motijheel,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_09,Agargaon,MRT6_17,Kamalapur,60,54.0,no,SRC_DMTCL_FARES
MRT6,MRT6_10,Bijoy Sarani,MRT6_01,Uttara North,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_10,Bijoy Sarani,MRT6_02,Uttara Center,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_10,Bijoy Sarani,MRT6_03,Uttara South,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_10,Bijoy Sarani,MRT6_04,Pallabi,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_10,Bijoy Sarani,MRT6_05,Mirpur 11,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_10,Bijoy Sarani,MRT6_06,Mirpur 10,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_10,Bijoy Sarani,MRT6_07,Kazipara,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_10,Bijoy Sarani,MRT6_08,Shewrapara,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_10,Bijoy Sarani,MRT6_09,Agargaon,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_10,Bijoy Sarani,MRT6_11,Farmgate,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_10,Bijoy Sarani,MRT6_12,Karwan Bazar,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_10,Bijoy Sarani,MRT6_13,Shahbag,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_10,Bijoy Sarani,MRT6_14,Dhaka University,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_10,Bijoy Sarani,MRT6_15,Bangladesh Secretariat,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_10,Bijoy Sarani,MRT6_16,Motijheel,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_10,Bijoy Sarani,MRT6_17,Kamalapur,50,45.0,no,SRC_DMTCL_FARES
MRT6,MRT6_11,Farmgate,MRT6_01,Uttara North,70,63.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_11,Farmgate,MRT6_02,Uttara Center,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_11,Farmgate,MRT6_03,Uttara South,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_11,Farmgate,MRT6_04,Pallabi,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_11,Farmgate,MRT6_05,Mirpur 11,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_11,Farmgate,MRT6_06,Mirpur 10,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_11,Farmgate,MRT6_07,Kazipara,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_11,Farmgate,MRT6_08,Shewrapara,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_11,Farmgate,MRT6_09,Agargaon,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_11,Farmgate,MRT6_10,Bijoy Sarani,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_11,Farmgate,MRT6_12,Karwan Bazar,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_11,Farmgate,MRT6_13,Shahbag,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_11,Farmgate,MRT6_14,Dhaka University,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_11,Farmgate,MRT6_15,Bangladesh Secretariat,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_11,Farmgate,MRT6_16,Motijheel,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_11,Farmgate,MRT6_17,Kamalapur,40,36.0,no,SRC_DMTCL_FARES
MRT6,MRT6_12,Karwan Bazar,MRT6_01,Uttara North,80,72.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_12,Karwan Bazar,MRT6_02,Uttara Center,70,63.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_12,Karwan Bazar,MRT6_03,Uttara South,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_12,Karwan Bazar,MRT6_04,Pallabi,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_12,Karwan Bazar,MRT6_05,Mirpur 11,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_12,Karwan Bazar,MRT6_06,Mirpur 10,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_12,Karwan Bazar,MRT6_07,Kazipara,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_12,Karwan Bazar,MRT6_08,Shewrapara,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_12,Karwan Bazar,MRT6_09,Agargaon,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_12,Karwan Bazar,MRT6_10,Bijoy Sarani,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_12,Karwan Bazar,MRT6_11,Farmgate,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_12,Karwan Bazar,MRT6_13,Shahbag,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_12,Karwan Bazar,MRT6_14,Dhaka University,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_12,Karwan Bazar,MRT6_15,Bangladesh Secretariat,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_12,Karwan Bazar,MRT6_16,Motijheel,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_12,Karwan Bazar,MRT6_17,Kamalapur,40,36.0,no,SRC_DMTCL_FARES
MRT6,MRT6_13,Shahbag,MRT6_01,Uttara North,80,72.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_13,Shahbag,MRT6_02,Uttara Center,70,63.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_13,Shahbag,MRT6_03,Uttara South,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_13,Shahbag,MRT6_04,Pallabi,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_13,Shahbag,MRT6_05,Mirpur 11,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_13,Shahbag,MRT6_06,Mirpur 10,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_13,Shahbag,MRT6_07,Kazipara,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_13,Shahbag,MRT6_08,Shewrapara,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_13,Shahbag,MRT6_09,Agargaon,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_13,Shahbag,MRT6_10,Bijoy Sarani,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_13,Shahbag,MRT6_11,Farmgate,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_13,Shahbag,MRT6_12,Karwan Bazar,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_13,Shahbag,MRT6_14,Dhaka University,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_13,Shahbag,MRT6_15,Bangladesh Secretariat,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_13,Shahbag,MRT6_16,Motijheel,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_13,Shahbag,MRT6_17,Kamalapur,30,27.0,no,SRC_DMTCL_FARES
MRT6,MRT6_14,Dhaka University,MRT6_01,Uttara North,90,81.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_14,Dhaka University,MRT6_02,Uttara Center,80,72.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_14,Dhaka University,MRT6_03,Uttara South,70,63.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_14,Dhaka University,MRT6_04,Pallabi,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_14,Dhaka University,MRT6_05,Mirpur 11,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_14,Dhaka University,MRT6_06,Mirpur 10,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_14,Dhaka University,MRT6_07,Kazipara,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_14,Dhaka University,MRT6_08,Shewrapara,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_14,Dhaka University,MRT6_09,Agargaon,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_14,Dhaka University,MRT6_10,Bijoy Sarani,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_14,Dhaka University,MRT6_11,Farmgate,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_14,Dhaka University,MRT6_12,Karwan Bazar,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_14,Dhaka University,MRT6_13,Shahbag,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_14,Dhaka University,MRT6_15,Bangladesh Secretariat,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_14,Dhaka University,MRT6_16,Motijheel,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_14,Dhaka University,MRT6_17,Kamalapur,20,18.0,no,SRC_DMTCL_FARES
MRT6,MRT6_15,Bangladesh Secretariat,MRT6_01,Uttara North,90,81.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_15,Bangladesh Secretariat,MRT6_02,Uttara Center,80,72.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_15,Bangladesh Secretariat,MRT6_03,Uttara South,70,63.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_15,Bangladesh Secretariat,MRT6_04,Pallabi,70,63.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_15,Bangladesh Secretariat,MRT6_05,Mirpur 11,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_15,Bangladesh Secretariat,MRT6_06,Mirpur 10,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_15,Bangladesh Secretariat,MRT6_07,Kazipara,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_15,Bangladesh Secretariat,MRT6_08,Shewrapara,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_15,Bangladesh Secretariat,MRT6_09,Agargaon,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_15,Bangladesh Secretariat,MRT6_10,Bijoy Sarani,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_15,Bangladesh Secretariat,MRT6_11,Farmgate,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_15,Bangladesh Secretariat,MRT6_12,Karwan Bazar,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_15,Bangladesh Secretariat,MRT6_13,Shahbag,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_15,Bangladesh Secretariat,MRT6_14,Dhaka University,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_15,Bangladesh Secretariat,MRT6_16,Motijheel,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_15,Bangladesh Secretariat,MRT6_17,Kamalapur,20,18.0,no,SRC_DMTCL_FARES
MRT6,MRT6_16,Motijheel,MRT6_01,Uttara North,100,90.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_16,Motijheel,MRT6_02,Uttara Center,90,81.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_16,Motijheel,MRT6_03,Uttara South,90,81.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_16,Motijheel,MRT6_04,Pallabi,80,72.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_16,Motijheel,MRT6_05,Mirpur 11,70,63.0,yes,SRC_DMTCL_FARES
