service_id,operator_name_en,operator_name_bn,variant_no_for_operator,start_stop_raw,end_stop_raw,stop_count,service_type,time_text,image_url,current_status,source_id
SVC0021,Baishakhi,বৈশাখী বাস,1,Savar,Notun Bazar,17,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A7%88%E0%A6%B6%E0%A6%BE%E0%A6%96%E0%A7%80%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=3b0dfb5f-3099-4cd6-a49f-dac11e5d93a9,needs_validation,SRC_BUS_GITHUB
SVC0022,Balaka,বলাকা বাস,1,Sayedabad,Gazipur Chourasta,30,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%B2%E0%A6%BE%E0%A6%95%E0%A6%BE%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=82e6516f-8986-40ba-ada2-7bd4d18c569b,needs_validation,SRC_BUS_GITHUB
SVC0023,Basumati,বাসুমতি বাস,1,Gabtoli,Maowa,22,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%81%E0%A6%AE%E0%A6%A4%E0%A6%BF%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=399b9d16-34cf-46f8-828d-936e7addaf6c,needs_validation,SRC_BUS_GITHUB
SVC0024,Basumati Transport,বাসুমতি ট্রান্সপোর্ট,1,Gabtoli,Gazipur Chourasta,24,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%81%E0%A6%AE%E0%A6%A4%E0%A6%BF%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=399b9d16-34cf-46f8-828d-936e7addaf6c,needs_validation,SRC_BUS_GITHUB
SVC0025,Best Satabdi AC,বেষ্ট শতাব্দী এসি বাস,1,Azimpur,Diabari,26,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A7%87%E0%A6%B7%E0%A7%8D%E0%A6%9F%20%E0%A6%B6%E0%A6%A4%E0%A6%BE%E0%A6%AC%E0%A7%8D%E0%A6%A6%E0%A7%80%20%E0%A6%8F%E0%A6%B8%E0%A6%BF%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=e3c8ef9a-4c8e-478f-8bcd-f400c9b80015,needs_validation,SRC_BUS_GITHUB
SVC0026,Best Transport,বেষ্ট ট্রান্সপোর্ট বাস,1,Mirpur 10,Jatrabari,20,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A7%87%E0%A6%B7%E0%A7%8D%E0%A6%9F%20%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%B8%E0%A6%AA%E0%A7%8B%E0%A6%B0%E0%A7%8D%E0%A6%9F.jpg?alt=media&token=ca348447-6b65-4948-b576-4585a211db50,needs_validation,SRC_BUS_GITHUB
SVC0027,Bhuiyan Paribahan,ভূঁইয়া পরিবহন,1,Japan Garden City,Abdullahpur,26,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AD%E0%A7%82%E0%A6%81%E0%A6%87%E0%A7%9F%E0%A6%BE%20%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%AC%E0%A6%B9%E0%A6%A8.jpg?alt=media&token=d8c1f0c8-a009-409c-89ec-901a131f6c58,needs_validation,SRC_BUS_GITHUB
SVC0028,Bihanga,বিহাঙ্গা বাস,1,Duaripara,Sadarghat,23,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BE%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=3b3094f6-3d93-4ce2-82eb-73a6224f363d,needs_validation,SRC_BUS_GITHUB
SVC0029,Bikalpa Bus Auto Service,বিকল্প বাস অটো সার্ভিস,1,Mirpur 12,Motijheel,21,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A6%B2%E0%A7%8D%E0%A6%AA%20%E0%A6%AC%E0%A6%BE%E0%A6%B8%20%E0%A6%85%E0%A6%9F%E0%A7%8B%20%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%AD%E0%A6%BF%E0%A6%B8.jpg?alt=media&token=ef24a3d2-36e3-4832-9f22-495c527e2322,needs_validation,SRC_BUS_GITHUB
SVC0030,Bikalpa Bus City Super Service,বিকল্প বাস সিটি সুপার সার্ভিস,1,Mirpur 12,Dhakeshwari,21,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A6%B2%E0%A7%8D%E0%A6%AA%20%E0%A6%AC%E0%A6%BE%E0%A6%B8%20%E0%A6%B8%E0%A6%BF%E0%A6%9F%E0%A6%BF%20%E0%A6%B8%E0%A7%81%E0%A6%AA%E0%A6%BE%E0%A6%B0%20%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%AD%E0%A6%BF%E0%A6%B8.jpeg?alt=media&token=b15cc796-17f8-4991-bc82-593595122bdc,needs_validation,SRC_BUS_GITHUB
SVC0031,Bikash,বিকাশ বাস,1,Azimpur,Kamarpara,19,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A6%BE%E0%A6%B6%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=1aed3d9c-965d-408e-a18a-ed84cfdf5dd0,needs_validation,SRC_BUS_GITHUB
SVC0032,Bikash Paribahan,বিকাশ পরিবহন বাস,1,Sign Board,Dhour,37,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A6%BE%E0%A6%B6%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=1aed3d9c-965d-408e-a18a-ed84cfdf5dd0,needs_validation,SRC_BUS_GITHUB
SVC0033,Bondhu Paribahan,বন্ধু পরিবহন বাস,1,Gulistan,Notun Bazar,16,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A7%81%20%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%AC%E0%A6%B9%E0%A6%A8%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=182a0564-6524-4cb3-8e65-bc57549726b4,needs_validation,SRC_BUS_GITHUB
SVC0034,Borak,বোরাক বাস,1,Palashi,Meghna Ghat,2,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A7%8B%E0%A6%B0%E0%A6%BE%E0%A6%95%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=deea3106-00e2-4a51-8f1a-212945fb2150,needs_validation,SRC_BUS_GITHUB
SVC0035,Bashumoti,বসুমতি বাস,1,Gazipur Chourasta,Gabtoli,9,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%81%E0%A6%AE%E0%A6%A4%E0%A6%BF%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=399b9d16-34cf-46f8-828d-936e7addaf6c,needs_validation,SRC_BUS_GITHUB
SVC0036,BRTC,বি আর টিসি বাস,1,Madanpur,Savar,30,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BF%20%E0%A6%86%E0%A6%B0%20%E0%A6%9F%E0%A6%BF%E0%A6%B8%E0%A6%BF%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=d6a87691-8c23-44de-8696-e5a9f533af34,needs_validation,SRC_BUS_GITHUB
SVC0037,BRTC,বি আর টিসি বাস,2,Motijheel,Tongi,28,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BF%20%E0%A6%86%E0%A6%B0%20%E0%A6%9F%E0%A6%BF%E0%A6%B8%E0%A6%BF%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=d6a87691-8c23-44de-8696-e5a9f533af34,needs_validation,SRC_BUS_GITHUB
SVC0038,BRTC,বি আর টিসি বাস,3,Motijheel,Chandra,24,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BF%20%E0%A6%86%E0%A6%B0%20%E0%A6%9F%E0%A6%BF%E0%A6%B8%E0%A6%BF%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=d6a87691-8c23-44de-8696-e5a9f533af34,needs_validation,SRC_BUS_GITHUB
SVC0039,BRTC,বি আর টিসি বাস,4,Mohammadpur,Kuril Bishwa Road,17,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BF%20%E0%A6%86%E0%A6%B0%20%E0%A6%9F%E0%A6%BF%E0%A6%B8%E0%A6%BF%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=d6a87691-8c23-44de-8696-e5a9f533af34,needs_validation,SRC_BUS_GITHUB
SVC0040,BRTC,বি আর টিসি বাস,5,Kamalapur,Kuril Bishwa Road,25,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BF%20%E0%A6%86%E0%A6%B0%20%E0%A6%9F%E0%A6%BF%E0%A6%B8%E0%A6%BF%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=d6a87691-8c23-44de-8696-e5a9f533af34,needs_validation,SRC_BUS_GITHUB
SVC0041,BRTC,বি আর টিসি বাস,6,Vulta,Kuril Bishwa Road,6,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BF%20%E0%A6%86%E0%A6%B0%20%E0%A6%9F%E0%A6%BF%E0%A6%B8%E0%A6%BF%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=d6a87691-8c23-44de-8696-e5a9f533af34,needs_validation,SRC_BUS_GITHUB
SVC0042,BRTC,বি আর টিসি বাস,7,Motijheel,Abdullahpur,28,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BF%20%E0%A6%86%E0%A6%B0%20%E0%A6%9F%E0%A6%BF%E0%A6%B8%E0%A6%BF%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=d6a87691-8c23-44de-8696-e5a9f533af34,needs_validation,SRC_BUS_GITHUB
SVC0043,BRTC,বি আর টিসি বাস,8,Mohammadpur,Motijheel,16,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BF%20%E0%A6%86%E0%A6%B0%20%E0%A6%9F%E0%A6%BF%E0%A6%B8%E0%A6%BF%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=d6a87691-8c23-44de-8696-e5a9f533af34,needs_validation,SRC_BUS_GITHUB
SVC0044,BRTC,বি আর টিসি বাস,9,Gabtoli,Gazipur Chourasta,24,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BF%20%E0%A6%86%E0%A6%B0%20%E0%A6%9F%E0%A6%BF%E0%A6%B8%E0%A6%BF%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=d6a87691-8c23-44de-8696-e5a9f533af34,needs_validation,SRC_BUS_GITHUB
SVC0045,BRTC Articulated,বি আর টিসি আরটিকুলেটেড বাস,1,Balughat,Motijheel,9,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%AC%E0%A6%BF%20%E0%A6%86%E0%A6%B0%20%E0%A6%9F%E0%A6%BF%E0%A6%B8%E0%A6%BF%20%E0%A6%86%E0%A6%B0%E0%A6%9F%E0%A6%BF%E0%A6%95%E0%A7%81%E0%A6%B2%E0%A7%87%E0%A6%9F%E0%A7%87%E0%A6%A1%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=bad8a45f-fc75-492d-82a1-402a566567f2,needs_validation,SRC_BUS_GITHUB
SVC0046,Cantonment,ক্যান্টনমেন্ট বাস সার্ভিস,1,Mirpur 14,Savar,11,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%A8%E0%A6%AE%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=77d502b4-d57c-4785-a610-a1a77c5f24bf,needs_validation,SRC_BUS_GITHUB
SVC0047,Cantonment Mini Service,ক্যান্টনমেন্ট  মিনি বাস সার্ভিস,1,Mirpur 14,Mohakhali,6,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%A8%E0%A6%AE%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F%20%E0%A6%AE%E0%A6%BF%E0%A6%A8%E0%A6%BF%20%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%AD%E0%A6%BF%E0%A6%B8.jpg?alt=media&token=76ce8584-f579-4bdd-8b23-7b17a0877562,needs_validation,SRC_BUS_GITHUB
SVC0048,Champion,চ্যাম্পিয়ন বাস,1,Vashantek,Gabtoli,9,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%9A%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A7%9F%E0%A6%A8%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=ff179f7f-7265-421f-9ae6-b3d676d8be90,needs_validation,SRC_BUS_GITHUB
SVC0049,City Link,সিটি লিংক বাস,1,Chittagong Road,Ghatar Char,24,Semi-Sitting Service,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%B8%E0%A6%BF%E0%A6%9F%E0%A6%BF%20%E0%A6%B2%E0%A6%BF%E0%A6%82%E0%A6%95%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=293dab72-7858-43eb-a6c5-6875027c471b,needs_validation,SRC_BUS_GITHUB
SVC0050,D Link,ডি লিংক বাস,1,Fulbaria,Dhamra,22,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%A1%E0%A6%BF%20%E0%A6%B2%E0%A6%BF%E0%A6%82%E0%A6%95%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.png?alt=media&token=64e31d60-c556-478a-989c-8cbd424968f5,needs_validation,SRC_BUS_GITHUB
SVC0051,D One Transport,ডি ওয়ান বাস,1,Motijheel,Kalampur,21,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%A1%E0%A6%BF%20%E0%A6%93%E0%A7%9F%E0%A6%BE%E0%A6%A8%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=e32883ac-58b6-4b95-a8d0-8ef3295e801c,needs_validation,SRC_BUS_GITHUB
SVC0052,Deepan,দিপান বাস,1,Tajmahal Road,Arambagh,12,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%A6%E0%A7%80%E0%A6%AA%E0%A6%A8%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=30c339ff-ecae-4725-873d-e3063b1eae4b,needs_validation,SRC_BUS_GITHUB
SVC0053,Desh Bangla,দেশ বাংলা বাস,1,Postagola,Kamarpara,28,,,https://firebasestorage.googleapis.com/v0/b/bd-bus-route-32221.appspot.com/o/buses%2F%E0%A6%A6%E0%A7%87%E0%A6%B6%20%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%20%E0%A6%AC%E0%A6%BE%E0%A6%B8.jpg?alt=media&token=c67f16e5-f4d3-46d9-a337-d48e67fbf276,needs_validation,SRC_BUS_GITHUB
